name,brand,category,price,lidlPlusPrice,packagingQty,packagingUnit,compareUnit,pricePerUnit,cal,protein,carbs,fat,link
"Petit pain au fromage","","Pains & viennoiseries","0.39","","","","kg","4.88","346","21.4","0","25","https://www.lidl.fr/p/petit-pain-au-fromage/p51816"
"Petit pain graines et céréales","","Pains & viennoiseries","0.3","","1","pièce","kg","3.44","265","13.4","43.3","4.2","https://www.lidl.fr/p/petit-pain-graines-et-cereales/p92785"
"Thé glacé saveur pêche","","Moins Cher","0.4","","","","L","0.41","253","0.3","61.5","0.2","https://www.lidl.fr/p/the-glace-saveur-peche/p10033590"
"Select & Go Sushi Box Hissu - 8 makis au saumon cru","Select & Go","Produits frais autre","2.49","","127","g","kg","19.61","179","7.7","25.2","5.1","https://www.lidl.fr/p/select-go-sushi-box-hissu-8-makis-au-saumon-cru/p10024892"
"12 côtes de porc échine","","Viandes, volailles & poissons","11.99","","2.1","kg","kg","5.71","322","16.3","0","27.9","https://www.lidl.fr/p/12-cotes-de-porc-echine/p10033553"
"Nescafé Dolce Gusto tripack","","Offres Flash","10.19","","","","kg","38.6","321","17.9","0","28.6","https://www.lidl.fr/p/nescafe-dolce-gusto-tripack/p10033624"
"Thon entier au naturel","","Moins Cher","3.54","1.42","","","","","187","16","9.4","9.3","https://www.lidl.fr/p/thon-entier-au-naturel/p10033771"
"Jambon entier à l'os avec griffe et couteau","","Deluxe","55.99","","6","kg","kg","9.33","263","16.3","1.8","20.7","https://www.lidl.fr/p/jambon-entier-a-l-os-avec-griffe-et-couteau/p10033873"
"Pain","","Pains & viennoiseries","0.57","","1","pièce","kg","1.42","146","3.6","32.1","0","https://www.lidl.fr/p/pain/p10033760"
"Pain de mie","","Moins Cher","0.95","0.67","","","","","277","8.5","53.2","3.2","https://www.lidl.fr/p/pain-de-mie/p10033587"
"Select & Go Onigiri au saumon cuit teriyaki","Select & Go","Produits frais autre","1.99","","100","g","kg","19.9","902","0","0","100","https://www.lidl.fr/p/select-go-onigiri-au-saumon-cuit-teriyaki/p10024898"
"Filets de poulet","","Viandes, volailles & poissons","11.49","","1.5","kg","kg","7.66","165","20.4","1.1","8.1","https://www.lidl.fr/p/filets-de-poulet/p10030990"
"Cuisses de poulet avec portion de dos","","Viandes, volailles & poissons","7.39","","2.5","kg","kg","2.96","440","9.6","0.8","44.2","https://www.lidl.fr/p/cuisses-de-poulet-avec-portion-de-dos/p10031209"
"2 rôtis de filet de porc","","Viandes, volailles & poissons","7.69","","","","","","110","17.2","1.8","3.8","https://www.lidl.fr/p/2-rotis-de-filet-de-porc/p10032110"
"6 paupiettes de porc","","Viandes, volailles & poissons","7.48","5.61","","","","","227","9.9","28.5","8.2","https://www.lidl.fr/p/6-paupiettes-de-porc/p10033550"
"6 escalopes de porc","","Viandes, volailles & poissons","4.94","","600","g","kg","8.23","107","22.1","0","2.1","https://www.lidl.fr/p/6-escalopes-de-porc/p10033559"
