name,brand,category,price,lidlPlusPrice,packagingQty,packagingUnit,compareUnit,pricePerUnit,cal,protein,carbs,fat,link
"Plante méditerranéenne","","Plantes & fleurs","10.99","","1","pièce","","","605","0.1","0.2","71","https://www.lidl.fr/p/plante-mediterraneenne/p10033829"
"Demi baguette rustique","","Pains & viennoiseries","0.35","","","","kg","2.8","280","10","60","0","https://www.lidl.fr/p/demi-baguette-rustique/p128975"
"Petit pain au fromage","","Pains & viennoiseries","0.39","","","","kg","4.88","346","21.4","0","25","https://www.lidl.fr/p/petit-pain-au-fromage/p51816"
"Petit pain graines et céréales","","Pains & viennoiseries","0.3","","1","pièce","kg","3.44","265","13.4","43.3","4.2","https://www.lidl.fr/p/petit-pain-graines-et-cereales/p92785"
"Pâte feuilletée végétale","","Moins Cher","0.45","","","","kg","2.61","551","7.3","45.1","38.1","https://www.lidl.fr/p/pate-feuilletee-vegetale/p10033577"
"Thé glacé saveur pêche","","Moins Cher","0.4","","","","L","0.41","253","0.3","61.5","0.2","https://www.lidl.fr/p/the-glace-saveur-peche/p10033590"
"Select & Go Sushi Box Hissu - 8 makis au saumon cru","Select & Go","Produits frais autre","2.49","","127","g","kg","19.61","179","7.7","25.2","5.1","https://www.lidl.fr/p/select-go-sushi-box-hissu-8-makis-au-saumon-cru/p10024892"
"Amandes décortiquées","","1001 delights","4.89","","500","g","kg","9.78","633","23.3","13.3","56.7","https://www.lidl.fr/p/amandes-decortiquees/p10033078"
"12 côtes de porc échine","","Viandes, volailles & poissons","11.99","","2.1","kg","kg","5.71","322","16.3","0","27.9","https://www.lidl.fr/p/12-cotes-de-porc-echine/p10033553"
"Pâte à Kadayif cheveux d’ange","","1001 delights","3.49","","400","g","kg","8.73","327","11.2","6.3","28.5","https://www.lidl.fr/p/pate-a-kadayif-cheveux-d-ange/p10033569"
"Kinder country","","Moins Cher","1.61","","","","kg","11.39","287","12.6","21.4","16.8","https://www.lidl.fr/p/kinder-country/p10033589"
"Ariel original lessive liquide","","Moins Cher","6.5","","1.575","L","L","4.13","","","","","https://www.lidl.fr/p/ariel-original-lessive-liquide/p10033598"
"Galbani mascarpone","","Offres Flash","2.69","","300","g","kg","8.97","429","7.1","0","50","https://www.lidl.fr/p/galbani-mascarpone/p10033608"
"Lay's chips recette paysanne","","Offres Flash","2.25","","324.5","g","kg","6.93","571","7.1","53.6","35.7","https://www.lidl.fr/p/lay-s-chips-recette-paysanne/p10033617"
"Nutella","","Offres Flash","2.7","","","","kg","6.42","568","5.4","51.4","37.8","https://www.lidl.fr/p/nutella/p10033621"
"Nescafé Dolce Gusto tripack","","Offres Flash","10.19","","","","kg","38.6","321","17.9","0","28.6","https://www.lidl.fr/p/nescafe-dolce-gusto-tripack/p10033624"
"Always discreet culottes","","Offres Flash","6.89","","","","","","","","","","https://www.lidl.fr/p/always-discreet-culottes/p10033627"
"Pampers Baby dry XXL","","Offres Flash","37.87","22.72","","","","","","","","","https://www.lidl.fr/p/pampers-baby-dry-xxl/p10033628"
"Nivea luminous 630 anti-tâches","","Offres Flash","11.59","","30","ml","L","386.33","","","","","https://www.lidl.fr/p/nivea-luminous-630-anti-taches/p10033631"
"Plantes fleuries grimpantes","","Plantes & fleurs","2.99","","1","pièce","","","605","0.1","0.2","71","https://www.lidl.fr/p/plantes-fleuries-grimpantes/p10033679"
"Cactus Western","","Plantes & fleurs","15.99","","1","pièce","","","5","0","3.9","0","https://www.lidl.fr/p/cactus-western/p10033685"
"8 steaks hachés pur bœuf","","Viandes, volailles & poissons","13.49","","","","","","300","55","40","0","https://www.lidl.fr/p/8-steaks-haches-pur-boeuf/p10033750"
"8 saucisses de Toulouse 3 poivres","","Viandes, volailles & poissons","5.49","","1","kg","","","259","10.7","7.1","20.5","https://www.lidl.fr/p/8-saucisses-de-toulouse-3-poivres/p10033755"
"Thon entier au naturel","","Moins Cher","3.54","1.42","","","","","187","16","9.4","9.3","https://www.lidl.fr/p/thon-entier-au-naturel/p10033771"
"Crème de pistache","","Moins Cher","3.89","2.92","","","","","500","10.7","50","28.6","https://www.lidl.fr/p/creme-de-pistache/p10033777"
"CHAMPAGNE BRUT l Germain Delabaye","","Foire aux vins","19.89","","","","L","26.52","325","7.5","72.5","0","https://www.lidl.fr/p/champagne-brut-l-germain-delabaye/p10033806"
"6 plantes de printemps","","Plantes & fleurs","5.79","","","","","","605","0.1","0.2","71","https://www.lidl.fr/p/6-plantes-de-printemps/p10033826"
"Arbuste fruitier","","Plantes & fleurs","3.99","","1","pièce","","","","","","","https://www.lidl.fr/p/arbuste-fruitier/p10033834"
"Palmier","","Plantes & fleurs","6.99","","1","pièce","","","607","3.6","39.3","50","https://www.lidl.fr/p/palmier/p10033838"
"Clématite","","Plantes & fleurs","3.99","","1","pièce","","","","","","","https://www.lidl.fr/p/clematite/p10033839"
"Jambon entier à l'os avec griffe et couteau","","Deluxe","55.99","","6","kg","kg","9.33","263","16.3","1.8","20.7","https://www.lidl.fr/p/jambon-entier-a-l-os-avec-griffe-et-couteau/p10033873"
"Escargots aux raisins","","Pains & viennoiseries","0.69","0.52","","","","","90","16.1","2","1.4","https://www.lidl.fr/p/escargots-aux-raisins/p10033068"
"Pomelo","","Fruits & légumes","0.79","0.52","","","","","3","0","0.6","0","https://www.lidl.fr/p/pomelo/p10033748"
"Pain","","Pains & viennoiseries","0.57","","1","pièce","kg","1.42","146","3.6","32.1","0","https://www.lidl.fr/p/pain/p10033760"
"Mini mozzarella","","Moins Cher","1.41","0.56","","","","","321","21.4","3.6","25","https://www.lidl.fr/p/mini-mozzarella/p10033765"
"Pain de mie","","Moins Cher","0.95","0.67","","","","","277","8.5","53.2","3.2","https://www.lidl.fr/p/pain-de-mie/p10033587"
"Demi baguette viennoise","","Pains & viennoiseries","0.59","","","","kg","4.54","280","10","60","0","https://www.lidl.fr/p/demi-baguette-viennoise/p172238"
"Select & Go Onigiri au saumon cuit teriyaki","Select & Go","Produits frais autre","1.99","","100","g","kg","19.9","902","0","0","100","https://www.lidl.fr/p/select-go-onigiri-au-saumon-cuit-teriyaki/p10024898"
"Filets de poulet","","Viandes, volailles & poissons","11.49","","1.5","kg","kg","7.66","165","20.4","1.1","8.1","https://www.lidl.fr/p/filets-de-poulet/p10030990"
"Cuisses de poulet avec portion de dos","","Viandes, volailles & poissons","7.39","","2.5","kg","kg","2.96","440","9.6","0.8","44.2","https://www.lidl.fr/p/cuisses-de-poulet-avec-portion-de-dos/p10031209"
"2 rôtis de filet de porc","","Viandes, volailles & poissons","7.69","","","","","","110","17.2","1.8","3.8","https://www.lidl.fr/p/2-rotis-de-filet-de-porc/p10032110"
